group,run,alpha,sub,subID,gender,age,ethnicity,gen_soph,intern,powo,chance,play,seek,care,fear,anger,sadness,spirit,sdDiff,grooveDiff,syncDiff,likeDiff,inflDiff,diffDiff,syncOthersDiff,groove,sync,likeCont,degDiff,degInfl,syncOthers,sdDiff_abs,rank,exp
011385aa_011385bb_011385cc_011385dd,13,0,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,1.14733606165797,-0.892797451326202,-0.829956212908579,-0.197364602400315,-1.17049454721807,0.232510595315178,-0.419008323794043,0.0912016314293747,0.134473724720276,-0.192006144294928,-0.512921690785949,-0.534081276581837,0.209592487266788,1.14733606165797,2,3
011385aa_011385bb_011385cc_011385dd,13,0,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,-6.73616914082379,-0.253702339415355,-0.119275682900339,-0.461793922693026,0.288859492346075,-0.0997219686273905,0.20910700552256,0.730296743340221,0.845154254728517,-0.456435464587639,-0.845154254728517,0.925272762982311,0.837707816583391,6.73616914082379,1,3
011385aa_011385bb_011385cc_011385dd,14,0.7,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,94.3038026003101,1.3531098296291,1.38427062137897,0.468022610225764,0.964290138594278,-1.24868405356614,1.44986634716226,0.574169251763214,0.79155948357663,0.473381068331151,-0.845154254728517,0.845154254728517,1.00419289050687,94.3038026003101,4,3
011385aa_011385bb_011385cc_011385dd,14,0.7,2_011385aa_011385bb_011385cc_011385dd,011385bb,Female,21,Asian,47,26,17,23,4,4,4,3.8,2.33333333333333,2.83333333333333,2,62.0351176896075,-0.721809985103273,-0.483472773728651,0.191135914867577,-0.0990820063702316,1.15346808948543,-1.25166339292762,-1.50075056296916,-1.07618391153099,0.196494372972965,1.55699788832305,-0.218217890235992,-1.69733684958301,62.0351176896075,3,3
011385aa_011385bb_011385cc_011385dd,14,0.7,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,8.48807582475965,-1.04509205072161,-1.15544728356125,-0.197364602400315,-0.414945392716077,0.160684061026923,-0.225022502598331,-1.82403262858749,-1.74815842136359,-0.192006144294928,0.564213859864543,-0.534081276581837,-0.670695959253721,8.48807582475965,2,3
011385aa_011385bb_011385cc_011385dd,14,0.7,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,2.87105063866416,0.413792206195776,0.254649435910934,-0.461793922693026,-0.450262739507969,-0.0654680969462133,0.0268195483636944,-0.365148371670111,-0.338061701891406,-0.456435464587639,0.338061701891406,-0.56939862337373,-0.418853908291696,2.87105063866416,1,3
011385aa_011385bb_011385cc_011385dd,15,0,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,79.5778584404657,-0.314302049965929,-0.131153653060889,-1.57023656851081,-1.15542640269841,-0.0997219686273904,0.15551996781591,0.574169251763214,0.79155948357663,-2.01186954040739,-0.845154254728517,-0.633865691046387,1.00419289050687,79.5778584404657,2,3
011385aa_011385bb_011385cc_011385dd,15,0,2_011385aa_011385bb_011385cc_011385dd,011385bb,Female,21,Asian,47,26,17,23,4,4,4,3.8,2.33333333333333,2.83333333333333,2,-11.2384083211371,0.312129148646185,0.0556358738452002,0.638127344869546,0.787746629763931,-0.0330666580603965,-0.385762872804682,1.20060045037533,0.978349010482719,0.196494372972965,-0.778498944161523,1.30930734141595,0.462910049886276,11.2384083211371,3,3
011385aa_011385bb_011385cc_011385dd,15,0,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,-16.7129282523575,0.160347459708665,0.153076661124692,-0.422394677430593,-0.0360322783958074,0.232510595315178,0.241208011096339,1.04881876143781,1.07578979776221,-0.864027649327175,-0.512921690785949,0.485528433256216,1.0898809337873,16.7129282523575,4,3
011385aa_011385bb_011385cc_011385dd,15,0,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,48.2908361149482,-0.158174558388922,-0.0775588819090023,1.35450390107186,0.403712051330288,-0.0997219686273905,-0.010965106107567,0.730296743340221,0.845154254728517,0.912870929175277,-0.845154254728517,0.925272762982311,0.837707816583391,48.2908361149482,1,3
011385aa_011385bb_011385cc_011385dd,16,0,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,27.696172346338,-0.0748977674638204,0.104175365199594,0.293701388043096,-0.301063870826746,-0.0997219686273904,1.03418874700942,0.574169251763214,0.79155948357663,0.473381068331151,-0.845154254728517,0.845154254728517,2.17575126276488,27.696172346338,3,3
011385aa_011385bb_011385cc_011385dd,16,0,2_011385aa_011385bb_011385cc_011385dd,011385bb,Female,21,Asian,47,26,17,23,4,4,4,3.8,2.33333333333333,2.83333333333333,2,42.0448493260519,0.551533431148294,0.290964892105684,0.0168146926849104,0.163089215860691,-0.0330666580603965,-0.678652465869185,1.20060045037533,0.978349010482719,0.196494372972965,-0.778498944161523,1.30930734141595,0.462910049886276,42.0448493260519,1,3
011385aa_011385bb_011385cc_011385dd,16,0,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,-11.2923840611835,-0.55786538779766,-0.552910393656759,-1.04370732961523,0.358920017539007,0.232510595315178,-0.051681581968164,0.0912016314293747,0.134473724720276,-0.864027649327175,-0.512921690785949,1.50513814309427,1.0898809337873,11.2923840611835,2,3
011385aa_011385bb_011385cc_011385dd,16,0,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,90.1979672572326,0.0812297241131865,0.157770136351481,0.733191248887222,-0.220945362572952,-0.0997219686273905,-0.30385469917207,0.730296743340221,0.845154254728517,0.912870929175277,-0.845154254728517,0.925272762982311,0.837707816583391,90.1979672572326,4,3
011385aa_011385bb_011385cc_011385dd,17,0.7,1_011385aa_011385bb_011385cc_011385dd,011385aa,Female,20,Asian,66,35,38,31,3,2.66666666666667,3.75,4.2,2.5,4.5,4,101.477856251967,0.888592962681619,-1.00547894590463,0.636027986483825,-0.399877248196414,0.0520469110445096,-0.138977517725167,0.574169251763214,-1.42480707043793,0.473381068331151,0.140859042454753,-0.633865691046387,-0.167365481751145,101.477856251967,3,3
011385aa_011385bb_011385cc_011385dd,17,0.7,2_011385aa_011385bb_011385cc_011385dd,011385bb,Female,21,Asian,47,26,17,23,4,4,4,3.8,2.33333333333333,2.83333333333333,2,53.5196503009142,-0.285876514269259,0.370410674009164,0.359141291125639,0.0157705526139811,0.300437340670519,-0.58882543582239,-0.600300225187664,-0.0489174505241358,0.196494372972965,0.389249472080762,-0.218217890235992,-0.617213399848368,53.5196503009142,4,3
011385aa_011385bb_011385cc_011385dd,17,0.7,3_011385aa_011385bb_011385cc_011385dd,011385cc,Female,20,Asian,88,40,20,31,3.83333333333333,3.16666666666667,4.25,4.4,3.16666666666667,3.5,1.33333333333333,16.1603618279156,-0.551991787660654,0.553801849253576,-0.7013807311745,0.719516876106189,-0.601733822196192,1.11826889781327,-0.866415498579059,0.134473724720276,-0.864027649327175,-0.512921690785949,0.485528433256216,1.0898809337873,16.1603618279156,2,3
011385aa_011385bb_011385cc_011385dd,17,0.7,4_011385aa_011385bb_011385cc_011385dd,011385dd,Female,19,Asian,73,24,24,30,3.83333333333333,2.83333333333333,3.25,4,3,3.5,3,34.3710582430318,-0.050724660751706,0.0812664226418933,-0.293788546434964,-0.335410180523756,0.249249570481163,-0.390465944265718,-0.365148371670111,-0.338061701891406,-0.456435464587639,0.338061701891406,-0.56939862337373,-0.418853908291696,34.3710582430318,1,3
